League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
LaLiga ,09/10 ,1 ,Real Madrid ,Deportivo La Coruña ,3 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Real Zaragoza ,Tenerife ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Athletic Bilbao ,Espanyol ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Málaga ,Atlético Madrid ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Osasuna ,Villarreal ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Racing de Santander ,Getafe ,1 ,4 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,RCD Mallorca ,Xerez ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Valencia ,Sevilla ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Almería ,Real Valladolid ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,1 ,Barcelona ,Sporting Gijón ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Atlético Madrid ,Racing de Santander ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Getafe ,Barcelona ,0 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Espanyol ,Real Madrid ,0 ,3 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Sevilla ,Real Zaragoza ,4 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Deportivo La Coruña ,Málaga ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Sporting Gijón ,Almería ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Tenerife ,Osasuna ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Villarreal ,RCD Mallorca ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Real Valladolid ,Valencia ,2 ,4 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,2 ,Xerez ,Athletic Bilbao ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Deportivo La Coruña ,Espanyol ,2 ,3 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,RCD Mallorca ,Tenerife ,4 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Málaga ,Racing de Santander ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Osasuna ,Sevilla ,0 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Barcelona ,Atlético Madrid ,5 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Almería ,Getafe ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Athletic Bilbao ,Villarreal ,3 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Real Zaragoza ,Real Valladolid ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Real Madrid ,Xerez ,5 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,3 ,Valencia ,Sporting Gijón ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,4 ,Sevilla ,RCD Mallorca ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,4 ,Racing de Santander ,Barcelona ,1 ,4 , (no statistics in this season)  here must be value
LaLiga ,09/10 ,4 ,Atlético Madrid ,Almería ,2 ,2 , (no statistics in this season)  here must be value
