League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
LaLiga ,12/13 ,1 ,Celta Vigo ,Málaga ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Sevilla ,Getafe ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,RCD Mallorca ,Espanyol ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Athletic Bilbao ,Real Betis ,3 ,5 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Real Madrid ,Valencia ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Barcelona ,Real Sociedad ,5 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Levante ,Atlético Madrid ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Deportivo La Coruña ,Osasuna ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Rayo Vallecano ,Granada ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,1 ,Real Zaragoza ,Real Valladolid ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Real Sociedad ,Celta Vigo ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Espanyol ,Real Zaragoza ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Real Betis ,Rayo Vallecano ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Málaga ,RCD Mallorca ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Osasuna ,Barcelona ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Getafe ,Real Madrid ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Granada ,Sevilla ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Valencia ,Deportivo La Coruña ,3 ,3 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Real Valladolid ,Levante ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,2 ,Atlético Madrid ,Athletic Bilbao ,4 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Celta Vigo ,Osasuna ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Real Zaragoza ,Málaga ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Deportivo La Coruña ,Getafe ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,RCD Mallorca ,Real Sociedad ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Rayo Vallecano ,Sevilla ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Athletic Bilbao ,Real Valladolid ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Levante ,Espanyol ,3 ,2 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Real Madrid ,Granada ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Barcelona ,Valencia ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,3 ,Real Betis ,Atlético Madrid ,null ,null , the game is cancaled 9  with id 2834369 at round 3
LaLiga ,12/13 ,3 ,Real Betis ,Atlético Madrid ,2 ,4 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,4 ,Málaga ,Levante ,3 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,4 ,Valencia ,Celta Vigo ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,4 ,Getafe ,Barcelona ,1 ,4 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,4 ,Sevilla ,Real Madrid ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,12/13 ,4 ,Espanyol ,Athletic Bilbao ,3 ,3 , (no statistics in this season)  here must be value
