League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,
LaLiga ,14/15 ,2 ,Espanyol ,Sevilla ,1 ,2 ,57% ,43% ,null ,null ,4 ,7 ,1 ,3 ,null ,null ,3 ,7 ,0 ,1 ,20 ,25 ,4 ,2 ,0 ,0 ,4 ,2 ,
LaLiga ,14/15 ,2 ,Villarreal ,Barcelona ,0 ,1 ,34% ,66% ,null ,null ,2 ,7 ,5 ,10 ,null ,null ,3 ,10 ,2 ,3 ,12 ,9 ,0 ,2 ,0 ,0 ,5 ,1 ,
LaLiga ,14/15 ,2 ,Deportivo La Coruña ,Rayo Vallecano ,2 ,2 ,47% ,53% ,null ,null ,3 ,3 ,3 ,7 ,null ,null ,2 ,4 ,1 ,4 ,17 ,19 ,4 ,6 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,2 ,Real Sociedad ,Real Madrid ,4 ,2 ,51% ,49% ,null ,null ,5 ,7 ,2 ,5 ,null ,null ,8 ,6 ,3 ,2 ,18 ,11 ,1 ,2 ,0 ,0 ,3 ,2 ,
LaLiga ,14/15 ,2 ,Elche CF ,Granada ,1 ,1 ,68% ,32% ,null ,null ,4 ,2 ,6 ,2 ,null ,null ,8 ,4 ,3 ,2 ,10 ,18 ,4 ,4 ,0 ,0 ,1 ,5 ,
LaLiga ,14/15 ,3 ,Almería ,Córdoba ,1 ,1 ,51% ,49% ,null ,null ,4 ,4 ,2 ,5 ,null ,null ,8 ,2 ,2 ,0 ,14 ,21 ,4 ,4 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,3 ,Barcelona ,Athletic Bilbao ,2 ,0 ,59% ,41% ,null ,null ,8 ,2 ,6 ,0 ,null ,null ,5 ,1 ,6 ,1 ,10 ,11 ,1 ,1 ,0 ,0 ,3 ,6 ,
LaLiga ,14/15 ,3 ,Málaga ,Levante ,0 ,0 ,59% ,41% ,null ,null ,9 ,0 ,9 ,4 ,null ,null ,20 ,1 ,7 ,0 ,11 ,14 ,1 ,2 ,0 ,0 ,0 ,10 ,
LaLiga ,14/15 ,3 ,Real Madrid ,Atlético Madrid ,1 ,2 ,65% ,35% ,null ,null ,6 ,2 ,11 ,4 ,null ,null ,4 ,4 ,2 ,1 ,11 ,11 ,4 ,7 ,0 ,0 ,0 ,5 ,
LaLiga ,14/15 ,3 ,Celta Vigo ,Real Sociedad ,2 ,2 ,50% ,50% ,null ,null ,7 ,5 ,5 ,7 ,null ,null ,5 ,8 ,1 ,1 ,12 ,15 ,1 ,5 ,0 ,0 ,5 ,5 ,
LaLiga ,14/15 ,3 ,Rayo Vallecano ,Elche CF ,2 ,3 ,48% ,52% ,null ,null ,5 ,4 ,9 ,5 ,null ,null ,6 ,5 ,3 ,3 ,10 ,20 ,2 ,2 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,3 ,Valencia ,Espanyol ,3 ,1 ,55% ,45% ,null ,null ,6 ,3 ,1 ,0 ,null ,null ,7 ,8 ,1 ,3 ,13 ,11 ,1 ,1 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,3 ,Sevilla ,Getafe ,2 ,0 ,56% ,44% ,null ,null ,6 ,1 ,4 ,2 ,null ,null ,8 ,5 ,1 ,1 ,10 ,24 ,2 ,6 ,0 ,0 ,1 ,4 ,
LaLiga ,14/15 ,3 ,Granada ,Villarreal ,0 ,0 ,40% ,60% ,null ,null ,5 ,3 ,4 ,3 ,null ,null ,9 ,5 ,0 ,2 ,12 ,13 ,3 ,2 ,0 ,0 ,3 ,5 ,
LaLiga ,14/15 ,3 ,Eibar ,Deportivo La Coruña ,0 ,1 ,62% ,38% ,null ,null ,3 ,1 ,7 ,1 ,null ,null ,4 ,8 ,4 ,0 ,11 ,23 ,0 ,5 ,0 ,0 ,0 ,3 ,
LaLiga ,14/15 ,4 ,Elche CF ,Eibar ,0 ,2 ,48% ,52% ,null ,null ,7 ,4 ,5 ,2 ,null ,null ,10 ,7 ,2 ,2 ,10 ,9 ,2 ,1 ,0 ,0 ,2 ,7 ,
LaLiga ,14/15 ,4 ,Deportivo La Coruña ,Real Madrid ,2 ,8 ,37% ,63% ,null ,null ,5 ,13 ,4 ,1 ,null ,null ,2 ,3 ,3 ,2 ,7 ,9 ,1 ,1 ,0 ,0 ,5 ,3 ,
LaLiga ,14/15 ,4 ,Athletic Bilbao ,Granada ,0 ,1 ,65% ,35% ,null ,null ,5 ,2 ,5 ,1 ,null ,null ,7 ,5 ,1 ,5 ,14 ,20 ,2 ,4 ,0 ,0 ,1 ,6 ,
LaLiga ,14/15 ,4 ,Atlético Madrid ,Celta Vigo ,2 ,2 ,55% ,45% ,null ,null ,10 ,3 ,6 ,0 ,null ,null ,6 ,3 ,6 ,0 ,8 ,16 ,1 ,3 ,0 ,0 ,1 ,8 ,
LaLiga ,14/15 ,4 ,Espanyol ,Málaga ,2 ,2 ,44% ,56% ,null ,null ,6 ,3 ,2 ,4 ,null ,null ,7 ,2 ,5 ,1 ,16 ,16 ,3 ,4 ,0 ,0 ,2 ,5 ,
LaLiga ,14/15 ,4 ,Real Sociedad ,Almería ,1 ,2 ,52% ,48% ,null ,null ,11 ,6 ,6 ,4 ,null ,null ,13 ,7 ,5 ,1 ,19 ,17 ,1 ,7 ,0 ,1 ,4 ,6 ,
LaLiga ,14/15 ,4 ,Villarreal ,Rayo Vallecano ,4 ,2 ,60% ,40% ,null ,null ,12 ,4 ,7 ,4 ,null ,null ,11 ,5 ,3 ,4 ,12 ,18 ,2 ,2 ,0 ,0 ,2 ,8 ,
LaLiga ,14/15 ,4 ,Córdoba ,Sevilla ,1 ,3 ,56% ,44% ,null ,null ,2 ,9 ,5 ,4 ,null ,null ,6 ,4 ,1 ,1 ,10 ,24 ,6 ,2 ,0 ,0 ,6 ,2 ,
LaLiga ,14/15 ,4 ,Levante ,Barcelona ,0 ,5 ,28% ,72% ,null ,null ,2 ,8 ,3 ,5 ,null ,null ,3 ,6 ,0 ,4 ,12 ,11 ,1 ,2 ,1 ,0 ,3 ,2 ,
LaLiga ,14/15 ,4 ,Getafe ,Valencia ,0 ,3 ,55% ,45% ,null ,null ,5 ,4 ,4 ,1 ,null ,null ,6 ,1 ,0 ,2 ,25 ,15 ,6 ,2 ,0 ,1 ,1 ,5 ,
LaLiga ,14/15 ,5 ,Real Madrid ,Elche CF ,5 ,1 ,60% ,40% ,null ,null ,13 ,3 ,7 ,5 ,null ,null ,8 ,2 ,4 ,1 ,15 ,13 ,2 ,1 ,0 ,0 ,2 ,7 ,
LaLiga ,14/15 ,5 ,Celta Vigo ,Deportivo La Coruña ,2 ,1 ,44% ,56% ,null ,null ,4 ,3 ,6 ,1 ,null ,null ,13 ,4 ,3 ,0 ,13 ,13 ,3 ,3 ,0 ,0 ,2 ,2 ,
LaLiga ,14/15 ,5 ,Almería ,Atlético Madrid ,0 ,1 ,33% ,67% ,null ,null ,1 ,7 ,4 ,6 ,null ,null ,2 ,10 ,1 ,3 ,14 ,16 ,3 ,6 ,0 ,0 ,6 ,1 ,
LaLiga ,14/15 ,5 ,Eibar ,Villarreal ,1 ,1 ,38% ,62% ,null ,null ,3 ,5 ,1 ,4 ,null ,null ,2 ,10 ,1 ,0 ,14 ,15 ,4 ,4 ,0 ,0 ,3 ,2 ,
LaLiga ,14/15 ,5 ,Rayo Vallecano ,Athletic Bilbao ,2 ,1 ,51% ,49% ,null ,null ,4 ,3 ,7 ,4 ,null ,null ,1 ,2 ,null ,null ,18 ,17 ,2 ,2 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,5 ,Granada ,Levante ,0 ,1 ,58% ,42% ,null ,null ,0 ,3 ,5 ,5 ,null ,null ,5 ,4 ,1 ,3 ,12 ,13 ,2 ,6 ,0 ,0 ,2 ,0 ,
LaLiga ,14/15 ,5 ,Málaga ,Barcelona ,0 ,0 ,40% ,60% ,null ,null ,2 ,1 ,3 ,6 ,null ,null ,2 ,8 ,1 ,2 ,15 ,14 ,2 ,2 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,5 ,Sevilla ,Real Sociedad ,1 ,0 ,55% ,45% ,null ,null ,9 ,1 ,3 ,4 ,null ,null ,11 ,4 ,3 ,0 ,10 ,7 ,6 ,2 ,0 ,0 ,1 ,8 ,
LaLiga ,14/15 ,5 ,Espanyol ,Getafe ,2 ,0 ,55% ,45% ,null ,null ,3 ,2 ,2 ,1 ,null ,null ,6 ,4 ,0 ,3 ,21 ,16 ,1 ,2 ,0 ,0 ,2 ,1 ,
LaLiga ,14/15 ,5 ,Valencia ,Córdoba ,3 ,0 ,65% ,35% ,null ,null ,8 ,1 ,7 ,0 ,null ,null ,3 ,3 ,0 ,1 ,12 ,21 ,1 ,3 ,0 ,0 ,1 ,5 ,
LaLiga ,14/15 ,6 ,Elche CF ,Celta Vigo ,0 ,1 ,54% ,46% ,null ,null ,4 ,7 ,7 ,8 ,null ,null ,0 ,4 ,1 ,0 ,10 ,14 ,4 ,2 ,0 ,0 ,6 ,3 ,
LaLiga ,14/15 ,6 ,Villarreal ,Real Madrid ,0 ,2 ,49% ,51% ,null ,null ,6 ,5 ,7 ,3 ,null ,null ,7 ,6 ,2 ,0 ,7 ,10 ,0 ,1 ,0 ,0 ,3 ,6 ,
LaLiga ,14/15 ,6 ,Barcelona ,Granada ,6 ,0 ,71% ,29% ,null ,null ,13 ,2 ,4 ,5 ,null ,null ,8 ,1 ,3 ,6 ,11 ,11 ,1 ,3 ,0 ,0 ,1 ,7 ,
LaLiga ,14/15 ,6 ,Atlético Madrid ,Sevilla ,4 ,0 ,54% ,46% ,null ,null ,5 ,1 ,4 ,1 ,null ,null ,5 ,3 ,1 ,0 ,13 ,13 ,4 ,3 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,6 ,Athletic Bilbao ,Eibar ,0 ,0 ,54% ,46% ,null ,null ,1 ,2 ,8 ,5 ,null ,null ,6 ,2 ,0 ,1 ,13 ,22 ,4 ,6 ,0 ,0 ,2 ,1 ,
LaLiga ,14/15 ,6 ,Levante ,Rayo Vallecano ,0 ,2 ,41% ,59% ,null ,null ,0 ,4 ,5 ,3 ,null ,null ,5 ,7 ,4 ,2 ,19 ,17 ,4 ,3 ,0 ,0 ,2 ,0 ,
LaLiga ,14/15 ,6 ,Getafe ,Málaga ,1 ,0 ,44% ,56% ,null ,null ,3 ,1 ,4 ,5 ,null ,null ,3 ,4 ,1 ,0 ,8 ,17 ,0 ,4 ,0 ,1 ,1 ,2 ,
LaLiga ,14/15 ,6 ,Deportivo La Coruña ,Almería ,0 ,1 ,47% ,53% ,null ,null ,1 ,7 ,3 ,4 ,null ,null ,6 ,5 ,4 ,4 ,14 ,17 ,2 ,4 ,0 ,0 ,6 ,0 ,
LaLiga ,14/15 ,6 ,Real Sociedad ,Valencia ,1 ,1 ,64% ,36% ,null ,null ,5 ,4 ,6 ,2 ,null ,null ,11 ,4 ,5 ,1 ,13 ,18 ,3 ,5 ,0 ,0 ,3 ,4 ,
LaLiga ,14/15 ,6 ,Córdoba ,Espanyol ,0 ,0 ,61% ,39% ,null ,null ,5 ,2 ,4 ,1 ,null ,null ,3 ,5 ,2 ,1 ,14 ,23 ,2 ,6 ,0 ,0 ,2 ,5 ,
LaLiga ,14/15 ,7 ,Getafe ,Córdoba ,1 ,1 ,59% ,41% ,null ,null ,5 ,3 ,9 ,3 ,null ,null ,8 ,3 ,2 ,0 ,12 ,9 ,1 ,2 ,0 ,0 ,2 ,5 ,
LaLiga ,14/15 ,7 ,Valencia ,Atlético Madrid ,3 ,1 ,43% ,57% ,null ,null ,3 ,6 ,2 ,8 ,null ,null ,1 ,6 ,2 ,1 ,20 ,14 ,4 ,1 ,0 ,1 ,5 ,1 ,
LaLiga ,14/15 ,7 ,Rayo Vallecano ,Barcelona ,0 ,2 ,46% ,54% ,null ,null ,5 ,6 ,5 ,8 ,null ,null ,6 ,7 ,2 ,4 ,18 ,9 ,4 ,2 ,2 ,0 ,4 ,5 ,
LaLiga ,14/15 ,7 ,Eibar ,Levante ,3 ,3 ,48% ,52% ,null ,null ,6 ,5 ,6 ,3 ,null ,null ,4 ,4 ,2 ,0 ,13 ,16 ,3 ,1 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,7 ,Almería ,Elche CF ,2 ,2 ,57% ,43% ,null ,null ,4 ,3 ,9 ,2 ,null ,null ,9 ,5 ,0 ,3 ,13 ,15 ,2 ,5 ,0 ,1 ,2 ,2 ,
LaLiga ,14/15 ,7 ,Málaga ,Granada ,2 ,1 ,57% ,43% ,null ,null ,3 ,3 ,6 ,1 ,null ,null ,3 ,3 ,2 ,4 ,11 ,15 ,1 ,4 ,1 ,0 ,1 ,1 ,
LaLiga ,14/15 ,7 ,Sevilla ,Deportivo La Coruña ,4 ,1 ,62% ,38% ,null ,null ,13 ,5 ,4 ,1 ,null ,null ,9 ,2 ,4 ,1 ,12 ,8 ,2 ,2 ,0 ,0 ,4 ,8 ,
LaLiga ,14/15 ,7 ,Celta Vigo ,Villarreal ,1 ,3 ,59% ,41% ,null ,null ,5 ,5 ,4 ,5 ,null ,null ,11 ,4 ,2 ,1 ,13 ,23 ,4 ,4 ,1 ,0 ,2 ,6 ,
LaLiga ,14/15 ,7 ,Espanyol ,Real Sociedad ,2 ,0 ,47% ,53% ,null ,null ,4 ,7 ,3 ,5 ,null ,null ,4 ,4 ,4 ,4 ,20 ,10 ,6 ,2 ,0 ,0 ,7 ,2 ,
LaLiga ,14/15 ,7 ,Real Madrid ,Athletic Bilbao ,5 ,0 ,62% ,38% ,null ,null ,14 ,4 ,6 ,0 ,null ,null ,8 ,7 ,8 ,1 ,10 ,11 ,1 ,2 ,0 ,0 ,4 ,9 ,
LaLiga ,14/15 ,8 ,Granada ,Rayo Vallecano ,0 ,1 ,55% ,45% ,null ,null ,3 ,2 ,2 ,3 ,null ,null ,3 ,6 ,5 ,2 ,16 ,14 ,4 ,5 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,8 ,Levante ,Real Madrid ,0 ,5 ,37% ,63% ,null ,null ,0 ,11 ,4 ,4 ,null ,null ,6 ,3 ,1 ,3 ,12 ,8 ,4 ,0 ,0 ,0 ,6 ,0 ,
LaLiga ,14/15 ,8 ,Athletic Bilbao ,Celta Vigo ,1 ,1 ,50% ,50% ,null ,null ,4 ,1 ,4 ,1 ,null ,null ,9 ,2 ,3 ,4 ,11 ,14 ,3 ,2 ,0 ,0 ,0 ,3 ,
LaLiga ,14/15 ,8 ,Barcelona ,Eibar ,3 ,0 ,76% ,24% ,null ,null ,14 ,5 ,10 ,2 ,null ,null ,12 ,3 ,null ,null ,9 ,14 ,2 ,2 ,0 ,0 ,5 ,11 ,
LaLiga ,14/15 ,8 ,Córdoba ,Málaga ,1 ,2 ,54% ,46% ,null ,null ,3 ,5 ,2 ,2 ,null ,null ,6 ,13 ,3 ,8 ,15 ,20 ,2 ,3 ,0 ,0 ,3 ,2 ,
LaLiga ,14/15 ,8 ,Atlético Madrid ,Espanyol ,2 ,0 ,66% ,34% ,null ,null ,6 ,1 ,4 ,5 ,null ,null ,12 ,1 ,4 ,0 ,17 ,16 ,null ,null ,null ,null ,1 ,3 ,
LaLiga ,14/15 ,8 ,Deportivo La Coruña ,Valencia ,3 ,0 ,55% ,45% ,null ,null ,6 ,1 ,4 ,3 ,null ,null ,3 ,5 ,2 ,2 ,20 ,18 ,4 ,4 ,0 ,0 ,0 ,4 ,
LaLiga ,14/15 ,8 ,Elche CF ,Sevilla ,0 ,2 ,38% ,62% ,null ,null ,1 ,5 ,5 ,1 ,null ,null ,6 ,4 ,0 ,1 ,19 ,25 ,5 ,2 ,0 ,0 ,3 ,1 ,
LaLiga ,14/15 ,8 ,Villarreal ,Almería ,2 ,0 ,50% ,50% ,null ,null ,5 ,3 ,4 ,4 ,null ,null ,6 ,4 ,2 ,0 ,17 ,16 ,5 ,2 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,8 ,Real Sociedad ,Getafe ,1 ,2 ,55% ,45% ,null ,null ,2 ,8 ,4 ,1 ,null ,null ,8 ,4 ,5 ,2 ,8 ,13 ,1 ,4 ,0 ,0 ,5 ,0 ,
LaLiga ,14/15 ,9 ,Celta Vigo ,Levante ,3 ,0 ,72% ,28% ,null ,null ,3 ,2 ,6 ,1 ,null ,null ,7 ,0 ,1 ,0 ,14 ,16 ,0 ,3 ,0 ,0 ,1 ,0 ,
LaLiga ,14/15 ,9 ,Almería ,Athletic Bilbao ,0 ,1 ,49% ,51% ,null ,null ,3 ,1 ,3 ,2 ,null ,null ,4 ,7 ,4 ,2 ,11 ,14 ,2 ,1 ,0 ,0 ,0 ,2 ,
LaLiga ,14/15 ,9 ,Real Madrid ,Barcelona ,3 ,1 ,54% ,46% ,null ,null ,7 ,5 ,4 ,5 ,null ,null ,3 ,9 ,0 ,2 ,9 ,9 ,2 ,4 ,0 ,0 ,4 ,3 ,
LaLiga ,14/15 ,9 ,Valencia ,Elche CF ,3 ,1 ,53% ,47% ,null ,null ,4 ,3 ,6 ,4 ,null ,null ,8 ,6 ,2 ,2 ,10 ,17 ,0 ,2 ,0 ,0 ,2 ,2 ,
LaLiga ,14/15 ,9 ,Córdoba ,Real Sociedad ,1 ,1 ,53% ,47% ,null ,null ,3 ,1 ,1 ,3 ,null ,null ,5 ,4 ,7 ,3 ,10 ,11 ,3 ,2 ,0 ,0 ,0 ,2 ,
LaLiga ,14/15 ,9 ,Eibar ,Granada ,1 ,1 ,54% ,46% ,null ,null ,2 ,2 ,5 ,5 ,null ,null ,7 ,8 ,1 ,0 ,17 ,16 ,3 ,4 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,9 ,Málaga ,Rayo Vallecano ,4 ,0 ,58% ,42% ,null ,null ,7 ,2 ,6 ,3 ,null ,null ,7 ,4 ,8 ,3 ,17 ,20 ,1 ,4 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,9 ,Espanyol ,Deportivo La Coruña ,0 ,0 ,55% ,45% ,null ,null ,7 ,1 ,9 ,3 ,null ,null ,11 ,0 ,null ,null ,12 ,16 ,2 ,4 ,0 ,0 ,1 ,6 ,
LaLiga ,14/15 ,9 ,Sevilla ,Villarreal ,2 ,1 ,47% ,53% ,null ,null ,8 ,7 ,0 ,4 ,null ,null ,3 ,2 ,2 ,0 ,18 ,13 ,3 ,4 ,0 ,0 ,6 ,5 ,
LaLiga ,14/15 ,9 ,Getafe ,Atlético Madrid ,0 ,1 ,43% ,57% ,null ,null ,3 ,6 ,3 ,3 ,null ,null ,1 ,8 ,0 ,2 ,17 ,11 ,3 ,3 ,1 ,0 ,5 ,3 ,
LaLiga ,14/15 ,10 ,Deportivo La Coruña ,Getafe ,1 ,2 ,61% ,39% ,null ,null ,2 ,3 ,5 ,9 ,null ,null ,4 ,6 ,4 ,1 ,7 ,21 ,2 ,1 ,0 ,0 ,3 ,1 ,
LaLiga ,14/15 ,10 ,Granada ,Real Madrid ,0 ,4 ,36% ,64% ,null ,null ,6 ,9 ,5 ,6 ,null ,null ,3 ,4 ,1 ,3 ,18 ,9 ,1 ,2 ,0 ,0 ,5 ,6 ,
LaLiga ,14/15 ,10 ,Atlético Madrid ,Córdoba ,4 ,2 ,64% ,36% ,null ,null ,8 ,4 ,1 ,3 ,null ,null ,4 ,5 ,null ,null ,13 ,13 ,0 ,2 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,10 ,Barcelona ,Celta Vigo ,0 ,1 ,58% ,42% ,null ,null ,11 ,4 ,8 ,2 ,null ,null ,9 ,5 ,2 ,1 ,10 ,29 ,1 ,2 ,0 ,0 ,3 ,10 ,
LaLiga ,14/15 ,10 ,Real Sociedad ,Málaga ,0 ,1 ,49% ,51% ,null ,null ,2 ,3 ,2 ,3 ,null ,null ,6 ,3 ,7 ,2 ,17 ,22 ,2 ,5 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,10 ,Athletic Bilbao ,Sevilla ,1 ,0 ,48% ,52% ,null ,null ,2 ,2 ,3 ,4 ,null ,null ,4 ,8 ,0 ,5 ,24 ,11 ,4 ,3 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,10 ,Villarreal ,Valencia ,1 ,3 ,60% ,40% ,null ,null ,4 ,3 ,2 ,2 ,null ,null ,11 ,4 ,3 ,1 ,12 ,16 ,2 ,3 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,10 ,Levante ,Almería ,2 ,1 ,52% ,48% ,null ,null ,5 ,5 ,2 ,3 ,null ,null ,3 ,6 ,1 ,2 ,17 ,17 ,3 ,2 ,0 ,0 ,4 ,3 ,
LaLiga ,14/15 ,10 ,Elche CF ,Espanyol ,2 ,1 ,55% ,45% ,null ,null ,6 ,7 ,2 ,1 ,null ,null ,4 ,10 ,2 ,4 ,17 ,10 ,4 ,2 ,2 ,0 ,6 ,2 ,
LaLiga ,14/15 ,10 ,Rayo Vallecano ,Eibar ,2 ,3 ,60% ,40% ,null ,null ,6 ,3 ,8 ,3 ,null ,null ,11 ,2 ,1 ,2 ,8 ,13 ,1 ,2 ,0 ,0 ,0 ,4 ,
LaLiga ,14/15 ,11 ,Córdoba ,Deportivo La Coruña ,0 ,0 ,59% ,41% ,null ,null ,3 ,1 ,2 ,3 ,null ,null ,3 ,2 ,2 ,0 ,10 ,4 ,4 ,1 ,0 ,1 ,1 ,4 ,
LaLiga ,14/15 ,11 ,Almería ,Barcelona ,1 ,2 ,37% ,63% ,null ,null ,3 ,8 ,2 ,7 ,null ,null ,4 ,5 ,1 ,2 ,16 ,8 ,2 ,0 ,0 ,0 ,4 ,2 ,
LaLiga ,14/15 ,11 ,Getafe ,Elche CF ,0 ,0 ,57% ,43% ,null ,null ,3 ,4 ,8 ,4 ,null ,null ,9 ,2 ,2 ,3 ,12 ,7 ,1 ,3 ,0 ,0 ,4 ,3 ,
LaLiga ,14/15 ,11 ,Real Madrid ,Rayo Vallecano ,5 ,1 ,46% ,54% ,null ,null ,12 ,7 ,3 ,7 ,null ,null ,4 ,6 ,3 ,2 ,11 ,15 ,0 ,4 ,0 ,0 ,6 ,6 ,
LaLiga ,14/15 ,11 ,Celta Vigo ,Granada ,0 ,0 ,63% ,37% ,null ,null ,7 ,1 ,9 ,3 ,null ,null ,6 ,2 ,3 ,0 ,14 ,17 ,1 ,4 ,0 ,0 ,1 ,7 ,
LaLiga ,14/15 ,11 ,Málaga ,Eibar ,2 ,1 ,55% ,45% ,null ,null ,7 ,3 ,5 ,1 ,null ,null ,5 ,3 ,1 ,2 ,10 ,14 ,3 ,3 ,0 ,1 ,2 ,5 ,
LaLiga ,14/15 ,11 ,Sevilla ,Levante ,1 ,1 ,47% ,53% ,null ,null ,4 ,6 ,6 ,7 ,null ,null ,6 ,5 ,2 ,1 ,14 ,12 ,2 ,6 ,0 ,0 ,5 ,3 ,
LaLiga ,14/15 ,11 ,Espanyol ,Villarreal ,1 ,1 ,59% ,41% ,null ,null ,4 ,4 ,4 ,2 ,null ,null ,6 ,7 ,0 ,3 ,16 ,24 ,3 ,3 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,11 ,Valencia ,Athletic Bilbao ,0 ,0 ,58% ,42% ,null ,null ,2 ,1 ,5 ,3 ,null ,null ,2 ,4 ,3 ,3 ,12 ,16 ,0 ,2 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,11 ,Real Sociedad ,Atlético Madrid ,2 ,1 ,44% ,56% ,null ,null ,5 ,2 ,3 ,2 ,null ,null ,2 ,1 ,0 ,1 ,18 ,15 ,2 ,7 ,0 ,1 ,1 ,3 ,
LaLiga ,14/15 ,12 ,Athletic Bilbao ,Espanyol ,3 ,1 ,59% ,41% ,null ,null ,4 ,2 ,4 ,3 ,null ,null ,5 ,3 ,3 ,4 ,14 ,18 ,1 ,4 ,0 ,0 ,1 ,1 ,
LaLiga ,14/15 ,12 ,Atlético Madrid ,Málaga ,3 ,1 ,55% ,45% ,null ,null ,5 ,1 ,5 ,0 ,null ,null ,4 ,3 ,0 ,4 ,18 ,14 ,2 ,4 ,1 ,1 ,0 ,2 ,
LaLiga ,14/15 ,12 ,Eibar ,Real Madrid ,0 ,4 ,40% ,60% ,null ,null ,2 ,8 ,4 ,6 ,null ,null ,4 ,2 ,0 ,4 ,15 ,9 ,4 ,2 ,0 ,0 ,4 ,2 ,
LaLiga ,14/15 ,12 ,Barcelona ,Sevilla ,5 ,1 ,61% ,39% ,null ,null ,9 ,1 ,3 ,1 ,null ,null ,5 ,4 ,0 ,3 ,9 ,22 ,1 ,2 ,0 ,0 ,0 ,4 ,
LaLiga ,14/15 ,12 ,Deportivo La Coruña ,Real Sociedad ,0 ,0 ,60% ,40% ,null ,null ,5 ,5 ,1 ,10 ,null ,null ,8 ,6 ,6 ,5 ,15 ,11 ,3 ,1 ,0 ,0 ,5 ,5 ,
LaLiga ,14/15 ,12 ,Rayo Vallecano ,Celta Vigo ,1 ,0 ,53% ,47% ,null ,null ,2 ,5 ,5 ,6 ,null ,null ,2 ,9 ,2 ,2 ,14 ,15 ,6 ,4 ,0 ,0 ,3 ,1 ,
LaLiga ,14/15 ,12 ,Levante ,Valencia ,2 ,1 ,43% ,57% ,null ,null ,5 ,6 ,2 ,6 ,null ,null ,4 ,5 ,2 ,0 ,20 ,18 ,2 ,1 ,0 ,0 ,5 ,3 ,
LaLiga ,14/15 ,12 ,Elche CF ,Córdoba ,2 ,2 ,57% ,43% ,null ,null ,8 ,3 ,5 ,3 ,null ,null ,6 ,2 ,2 ,2 ,16 ,12 ,3 ,4 ,0 ,0 ,1 ,4 ,
LaLiga ,14/15 ,12 ,Villarreal ,Getafe ,2 ,1 ,51% ,49% ,null ,null ,5 ,4 ,6 ,6 ,null ,null ,7 ,4 ,1 ,1 ,13 ,11 ,3 ,2 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,12 ,Granada ,Almería ,0 ,0 ,55% ,45% ,null ,null ,11 ,1 ,5 ,2 ,null ,null ,10 ,5 ,1 ,3 ,10 ,7 ,4 ,1 ,0 ,1 ,1 ,11 ,
LaLiga ,14/15 ,13 ,Real Sociedad ,Elche CF ,3 ,0 ,51% ,49% ,null ,null ,9 ,5 ,2 ,7 ,null ,null ,2 ,1 ,3 ,2 ,15 ,15 ,null ,null ,null ,null ,5 ,6 ,
LaLiga ,14/15 ,13 ,Getafe ,Athletic Bilbao ,1 ,2 ,47% ,53% ,null ,null ,6 ,4 ,2 ,3 ,null ,null ,2 ,4 ,3 ,5 ,12 ,16 ,null ,null ,null ,null ,2 ,5 ,
LaLiga ,14/15 ,13 ,Espanyol ,Levante ,2 ,1 ,55% ,45% ,null ,null ,4 ,3 ,3 ,7 ,null ,null ,5 ,6 ,2 ,1 ,20 ,10 ,null ,null ,null ,null ,2 ,2 ,
LaLiga ,14/15 ,13 ,Málaga ,Real Madrid ,1 ,2 ,43% ,57% ,null ,null ,5 ,9 ,3 ,8 ,null ,null ,5 ,6 ,2 ,5 ,16 ,11 ,null ,null ,null ,null ,7 ,4 ,
