League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
Premier League ,12/13 ,1 ,Arsenal ,Sunderland ,0 ,0 ,(no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Fulham ,Norwich City ,5 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Queens Park Rangers ,Swansea City ,0 ,5 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Reading ,Stoke City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,West Bromwich Albion ,Liverpool ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,West Ham United ,Aston Villa ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Newcastle United ,Tottenham ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Wigan Athletic ,Chelsea ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Manchester City ,Southampton ,3 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,1 ,Everton ,Manchester United ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Swansea City ,West Ham United ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Aston Villa ,Everton ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Manchester United ,Fulham ,3 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Norwich City ,Queens Park Rangers ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Southampton ,Wigan Athletic ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Sunderland ,Reading ,null ,null , the game is cancaled 5  with id 2754572 at round 2
Premier League ,12/13 ,2 ,Tottenham ,West Bromwich Albion ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Chelsea ,Newcastle United ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Stoke City ,Arsenal ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Liverpool ,Manchester City ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,2 ,Sunderland ,Reading ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Chelsea ,Reading ,4 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,West Ham United ,Fulham ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Swansea City ,Sunderland ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Tottenham ,Norwich City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,West Bromwich Albion ,Everton ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Wigan Athletic ,Stoke City ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Manchester City ,Queens Park Rangers ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Liverpool ,Arsenal ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Newcastle United ,Aston Villa ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,12/13 ,3 ,Southampton ,Manchester United ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,12/13 ,4 ,Norwich City ,West Ham United ,0 ,0 , (no statistics in this season)  here must be value
