Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
false,null,null,A. Webster,adam-webster,D,78,true,penaltyNotAwarded,varDecision,5413
true,null,null,P. Groß,pascal-gross,M,65,true,goalNotAwarded,varDecision,5413
true,,,Richarlison,richarlison,F,21,false,goalAwarded,varDecision,5413
false,null,null,C. Hudson-Odoi,callum-hudson-odoi,F,76,false,penaltyAwarded,varDecision,5416
false,,,Sokratis,sokratis,D,84,true,goalAwarded,varDecision,5418
false,null,null,W. Zaha,wilfried-zaha,F,31,false,penaltyNotAwarded,varDecision,5418
false,,,A. Wan-Bissaka,aaron-wan-bissaka,D,42,false,penaltyNotAwarded,varDecision,5420
false,,,D. James,james-daniel,M,26,false,penaltyNotAwarded,varDecision,5420
true,null,null,S. Mané,sadio-mane,F,38,false,penaltyNotAwarded,varDecision,5423
true,null,null,R. Firmino,roberto-firmino,F,28,false,goalNotAwarded,varDecision,5423
true,null,null,Trezeguet,trezeguet,M,22,true,goalAwarded,varDecision,5423
true,null,null,A. Connolly,aaron-connolly,F,45,true,cardUpgrade,varDecision,5424
true,null,null,D. Yedlin,deandre-yedlin,D,48,false,goalNotAwarded,varDecision,5427
false,null,null,G. Deulofeu,gerard-deulofeu,F,78,true,penaltyNotAwarded,varDecision,5428
true,,,Richarlison,richarlison,F,90,true,review,varDecision,5430
true,null,null,Y. Mina,yerry-mina,D,70,true,penaltyNotAwarded,varDecision,5430
true,null,null,H. M. Son,heung-min-son,F,52,false,penaltyNotAwarded,varDecision,5430
false,null,null,C. Wood,chris-wood,F,37,true,goalAwarded,varDecision,5433
true,,,G. Baldock,george-baldock,M,79,false,goalAwarded,varDecision,5436
false,,,D. McGoldrick,david-mcgoldrick,F,62,false,goalAwarded,varDecision,5436
true,,,B. Williams,williams-brandon,D,57,true,cardUpgrade,varDecision,5438
true,null,null,M. Montoya,martin-montoya,D,31,false,cardUpgrade,varDecision,5438
true,,,S. McTominay,scott-mctominay,M,21,true,goalAwarded,varDecision,5438
true,null,null,A. Traoré,adama-traore,F,73,true,penaltyNotAwarded,varDecision,5439
true,null,null,R. Sterling,raheem-sterling,F,66,false,penaltyNotAwarded,varDecision,5440
false,null,null,D. Rice,declan-rice,M,90,true,goalAwarded,varDecision,5441
true,null,null,D. Ings,danny-ings,F,70,false,penaltyAwarded,varDecision,5442
false,null,null,J. Maddison,james-maddison,M,81,false,goalAwarded,varDecision,5444
true,,,D. Gray,demarai-gray,M,79,false,penaltyAwarded,varDecision,5444
false,,,J. Tomkins,james-tomkins,D,44,true,goalAwarded,varDecision,5445
true,null,null,M. Holgate,mason-holgate,D,81,true,cardUpgrade,varDecision,5446
false,,,A. Barnes,ashley-barnes,F,81,false,penaltyNotAwarded,varDecision,5447
true,null,null,R. Sterling,raheem-sterling,F,90,true,goalNotAwarded,varDecision,5448
true,null,null,O. McBurnie,oliver-mcburnie,F,90,true,goalAwarded,varDecision,5449
true,,,P. Bardsley,phil-bardsley,D,56,true,cardUpgrade,varDecision,5452
true,null,null,P. v. Aanholt,patrick-van-aanholt,D,40,false,goalNotAwarded,varDecision,5452
true,null,null,M. Antonio,michail-antonio,F,69,false,goalNotAwarded,varDecision,5453
true,,,H. Wilson,harry-wilson,M,90,false,goalAwarded,varDecision,5455
true,null,null,M. Djenepo,moussa-djenepo,M,68,true,penaltyNotAwarded,varDecision,5456
true,null,null,P. Aubameyang,pierre-emerick-aubameyang,F,27,false,penaltyAwarded,varDecision,5457
true,null,null,J. Fleck,john-fleck,M,86,false,cardUpgrade,varDecision,5458
true,,,D. Jota,diogo-jota,F,67,true,penaltyNotAwarded,varDecision,5458
true,null,null,R. Jiménez,raul-jimenez,F,35,true,penaltyNotAwarded,varDecision,5458
false,,,K. Iheanacho,kelechi-iheanacho,F,90,true,goalNotAwarded,varDecision,5459
false,null,null,B. Chilwell,ben-chilwell,D,34,true,penaltyAwarded,varDecision,5459
true,null,null,J. Evans,jonny-evans,D,54,true,penaltyAwarded,varDecision,5464
true,,,J. Vardy,jamie-vardy,F,38,true,penaltyNotAwarded,varDecision,5464
true,null,null,D. Alli,dele-alli,M,40,false,goalAwarded,varDecision,5465
true,,,Richarlison,richarlison,F,45,false,goalAwarded,varDecision,5468
false,null,null,J. Shelvey,jonjo-shelvey,M,71,false,goalNotAwarded,varDecision,5469
false,,,D. Luiz,david-luiz,D,64,true,goalAwarded,varDecision,5470
true,null,null,L. Moura,lucas-moura,F,10,true,goalAwarded,varDecision,5473
true,,,K. Walker,kyle-walker,D,45,true,penaltyNotAwarded,varDecision,5475
