PlayerName,FirstName,LastName,ShortName,Slug,Position,Reason,Time,AddedTime,IsHome,IncidentClass,IncidentType,GameID
Pierre-Emile Højbjerg,,,P. Højbjerg,pierre-emile-hojbjerg,M,Foul,82,null,false,yellow,card,5343
Moussa Djenepo,,,M. Djenepo,moussa-djenepo,M,Foul,62,null,false,yellow,card,5343
Florin Andone,,,F. Andone,florin-andone,F,Foul,30,null,true,red,card,5343
James Ward-Prowse,,,J. Ward-Prowse,james-ward-prowse,M,Foul,21,null,false,yellow,card,5343
Vicente Guaita,,,V. Guaita,vicente-guaita,G,Time wasting,86,null,false,yellow,card,5344
Wilfried Zaha,,,W. Zaha,wilfried-zaha,F,Foul,79,null,false,yellow,card,5344
Daniel James,,,D. James,james-daniel,M,Simulation,71,null,true,yellow,card,5344
Aaron Wan-Bissaka,,,A. Wan-Bissaka,aaron-wan-bissaka,D,Foul,46,null,true,yellow,card,5344
Gary Cahill,,,G. Cahill,gary-cahill,D,Foul,41,null,false,yellow,card,5344
Luka Milivojević,,,L. Milivojević,luka-milivojevic,M,Foul,38,null,false,yellow,card,5344
John Lundstram,,,J. Lundstram,john-lundstram,M,Foul,57,null,true,yellow,card,5345
Angelo Ogbonna,,,A. Ogbonna,angelo-ogbonna,D,Foul,76,null,false,yellow,card,5346
José Holebas,,,J. Holebas,jose-holebas,D,Foul,63,null,true,yellow,card,5346
Fabinho,,,Fabinho,fabinho,M,Foul,90,3,true,yellow,card,5347
David Luiz,,,D. Luiz,david-luiz,D,Foul,48,null,false,yellow,card,5347
Nicolás Otamendi,,,N. Otamendi,nicolas-otamendi,D,Foul,90,null,false,yellow,card,5348
Jefferson Lerma,,,J. Lerma,jefferson-lerma,M,Foul,56,null,true,yellow,card,5348
Ederson,,,Ederson,ederson,G,Foul,13,null,false,yellow,card,5348
Kyle Walker,,,K. Walker,kyle-walker,D,Foul,10,null,false,yellow,card,5348
Joelinton,,,Joelinton,joelinton,F,Time wasting,87,null,false,yellow,card,5349
Danny Rose,,,D. Rose,danny-rose,D,Foul,66,null,true,yellow,card,5349
Matt Ritchie,,,M. Ritchie,matt-ritchie,M,Foul,47,null,false,yellow,card,5349
Harry Winks,,,H. Winks,harry-winks,M,Foul,11,null,true,yellow,card,5349
Aaron Lennon,,,A. Lennon,aaron-lennon,M,Foul,88,null,false,yellow,card,5350
James Tarkowski,,,J. Tarkowski,james-tarkowski,D,Foul,59,null,false,yellow,card,5350
Stuart Armstrong,,,S. Armstrong,stuart-armstrong,M,Foul,90,6,true,yellow,card,5351
Ashley Young,,,A. Young,ashley-young,M,Argument,90,4,false,yellow,card,5351
Kevin Danso,,,K. Danso,danso-kevin,D,Foul,73,null,true,yellowRed,card,5351
Harry Maguire,,,H. Maguire,harry-maguire,D,Foul,40,null,false,yellow,card,5351
Kevin Danso,,,K. Danso,danso-kevin,D,Foul,19,null,true,yellow,card,5351
Oliver McBurnie,,,O. McBurnie,oliver-mcburnie,F,Argument,45,1,false,yellow,card,5352
Jack Grealish,,,J. Grealish,jack-grealish,F,Simulation,90,6,false,yellow,card,5353
Cheikhou Kouyaté,,,C. Kouyaté,cheikhou-kouyate,D,Persistent fouling,71,null,true,yellow,card,5353
Luka Milivojević,,,L. Milivojević,luka-milivojevic,M,Persistent fouling,58,null,true,yellow,card,5353
Mahmoud Trezeguet,,,Trezeguet,trezeguet,M,Foul,54,null,false,yellowRed,card,5353
Mahmoud Trezeguet,,,Trezeguet,trezeguet,M,Foul,44,null,false,yellow,card,5353
Frédéric Guilbert,,,F. Guilbert,frederic-guilbert,D,Foul,40,null,false,yellow,card,5353
Neil Taylor,,,N. Taylor,neil-taylor,D,Foul,35,null,false,yellow,card,5353
Douglas Luiz,,,D. Luiz,douglas-luiz,M,Foul,17,null,false,yellow,card,5353
Callum Wilson,,,C. Wilson,callum-wilson,F,Simulation,69,null,false,yellow,card,5354
Marc Albrighton,,,M. Albrighton,marc-albrighton,M,Foul,40,null,true,yellow,card,5354
Jefferson Lerma,,,J. Lerma,jefferson-lerma,M,Foul,32,null,false,yellow,card,5354
Philip Billing,,,P. Billing,philip-billing,M,Foul,21,null,false,yellow,card,5354
Lewis Dunk,,,L. Dunk,lewis-dunk,D,Argument,83,null,false,yellow,card,5355
Aymeric Laporte,,,A. Laporte,aymeric-laporte,D,Foul,36,null,true,yellow,card,5355
Craig Cathcart,,,C. Cathcart,craig-cathcart,D,Foul,55,null,false,yellow,card,5356
Craig Dawson,,,C. Dawson,craig-dawson,D,Foul,44,null,false,yellow,card,5356
Paul Dummett,,,P. Dummett,paul-dummett,D,Foul,44,null,true,yellow,card,5356
Isaac Hayden,,,I. Hayden,isaac-hayden,M,Foul,31,null,true,yellow,card,5356
Abdoulaye Doucouré,,,A. Doucouré,abdoulaye-doucoure,M,Foul,29,null,false,yellow,card,5356
Robert Snodgrass,,,R. Snodgrass,robert-snodgrass,M,Foul,74,null,true,yellow,card,5357
Max Aarons,,,M. Aarons,max-aarons,D,Foul,62,null,false,yellow,card,5357
Ryan Fredericks,,,R. Fredericks,ryan-fredericks,D,Foul,60,null,true,yellow,card,5357
Willy Boly,,,W. Boly,willy-boly,D,Foul,90,5,false,yellowRed,card,5359
Pedro Neto,,,P. Neto,pedro-neto,F,Foul,90,4,false,yellow,card,5359
Fabian Delph,,,F. Delph,fabian-delph,M,Foul,63,null,true,yellow,card,5359
Ryan Bennett,,,R. Bennett,ryan-bennett,D,Foul,58,null,false,yellow,card,5359
Willy Boly,,,W. Boly,willy-boly,D,Foul,49,null,false,yellow,card,5359
Raúl Jiménez,,,R. Jiménez,raul-jimenez,F,Time wasting,44,null,false,yellow,card,5359
Rúben Vinagre,,,R. Vinagre,ruben-vinagre,M,Foul,38,null,false,yellow,card,5359
Granit Xhaka,,,G. Xhaka,granit-xhaka,M,Foul,90,2,true,yellow,card,5360
Sokratis,,,Sokratis,sokratis,D,Argument,87,null,true,yellow,card,5360
Davinson Sánchez,,,D. Sánchez,davinson-sanchez,D,Foul,78,null,false,yellow,card,5360
Harry Winks,,,H. Winks,harry-winks,M,Time wasting,74,null,false,yellow,card,5360
Alexandre Lacazette,,,A. Lacazette,alexandre-lacazette,F,Foul,63,null,true,yellow,card,5360
Christian Eriksen,,,C. Eriksen,christian-eriksen,M,Time wasting,57,null,false,yellow,card,5360
Érik Lamela,,,É. Lamela,erik-lamela,M,Foul,32,null,false,yellow,card,5360
Danny Rose,,,D. Rose,danny-rose,D,Foul,28,null,false,yellow,card,5360
Ashley Westwood,,,A. Westwood,ashley-westwood,M,Foul,83,null,false,yellow,card,5362
Aaron Lennon,,,A. Lennon,aaron-lennon,M,Foul,27,null,false,yellow,card,5362
Ben Chilwell,,,B. Chilwell,ben-chilwell,D,Argument,90,5,false,yellow,card,5363
Daniel James,,,D. James,james-daniel,M,Foul,84,null,true,yellow,card,5363
James Maddison,,,J. Maddison,james-maddison,M,Foul,75,null,false,yellow,card,5363
Billy Sharp,,,B. Sharp,billy-sharp,F,Foul,85,null,true,red,card,5364
John Fleck,,,J. Fleck,john-fleck,M,Foul,65,null,true,yellow,card,5364
Jannik Vestergaard,,,J. Vestergaard,jannik-vestergaard,D,Foul,51,null,false,yellow,card,5364
Luka Milivojević,,,L. Milivojević,luka-milivojevic,M,Foul,90,1,false,yellow,card,5365
Joel Ward,,,J. Ward,joel-ward,D,Foul,89,null,false,yellow,card,5365
Jordan Ayew,,,J. Ayew,jordan-ayew,F,Argument,61,null,false,yellow,card,5365
Christian Eriksen,,,C. Eriksen,christian-eriksen,M,Foul,60,null,true,yellow,card,5365
Jan Vertonghen,,,J. Vertonghen,jan-vertonghen,D,Foul,53,null,true,yellow,card,5365
