League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
Premier League ,11/12 ,1 ,Blackburn Rovers ,Wolverhampton ,1 ,2 ,(no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Fulham ,Aston Villa ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Liverpool ,Sunderland ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Queens Park Rangers ,Bolton Wanderers ,0 ,4 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Tottenham ,Everton ,null ,null , the game is cancaled 4  with id 1768175 at round 1
Premier League ,11/12 ,1 ,Wigan Athletic ,Norwich City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Newcastle United ,Arsenal ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Stoke City ,Chelsea ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,West Bromwich Albion ,Manchester United ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Manchester City ,Swansea City ,4 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,1 ,Tottenham ,Everton ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Sunderland ,Newcastle United ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Arsenal ,Liverpool ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Aston Villa ,Blackburn Rovers ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Everton ,Queens Park Rangers ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Swansea City ,Wigan Athletic ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Chelsea ,West Bromwich Albion ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Norwich City ,Stoke City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Wolverhampton ,Fulham ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Bolton Wanderers ,Manchester City ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,11/12 ,2 ,Manchester United ,Tottenham ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Aston Villa ,Wolverhampton ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Wigan Athletic ,Queens Park Rangers ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Blackburn Rovers ,Everton ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Chelsea ,Norwich City ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Swansea City ,Sunderland ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Liverpool ,Bolton Wanderers ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Newcastle United ,Fulham ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Tottenham ,Manchester City ,1 ,5 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,West Bromwich Albion ,Stoke City ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,3 ,Manchester United ,Arsenal ,8 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Arsenal ,Swansea City ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Everton ,Aston Villa ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Manchester City ,Wigan Athletic ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Stoke City ,Liverpool ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Sunderland ,Chelsea ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Wolverhampton ,Tottenham ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Bolton Wanderers ,Manchester United ,0 ,5 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Norwich City ,West Bromwich Albion ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,11/12 ,4 ,Fulham ,Blackburn Rovers ,1 ,1 , (no statistics in this season)  here must be value
