HomeScore,AwayScore,PlayerName,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,AssistName,AssistFirstName,AssistLastName,AssistShortName,AssistSlug,AssistPosition,Time,AddedTime,IsHome,IncidentClass,IncidentType,GameID
1,0,null,null,R. Sterling,raheem-sterling,F,,,K. D. Bruyne,kevin-de-bruyne,M,20,null,true,regular,goal,5337
1,0,null,null,J. Lundstram,john-lundstram,M,null,null,null,null,null,47,null,true,regular,goal,5338
1,1,null,null,W. Ndidi,wilfred-ndidi,M,null,null,J. Maddison,james-maddison,M,67,null,false,regular,goal,5339
1,0,null,null,M. Mount,mason-mount,M,null,null,null,null,null,7,null,true,regular,goal,5339
1,1,null,null,R. Neves,ruben-neves,M,null,null,J. Moutinho,joao-moutinho,M,55,null,true,regular,goal,5340
0,1,,,A. Martial,anthony-martial,F,,,M. Rashford,marcus-rashford,M,27,null,false,regular,goal,5340
2,0,null,null,A. E. Ghazi,anwar-el-ghazi,F,null,null,J. McGinn,john-mcginn,M,90,5,true,regular,goal,5341
1,0,null,null,Wesley,wesley,F,null,null,J. Peleteiro,jota-peleteiro,M,21,null,true,regular,goal,5341
2,3,null,null,T. Abraham,tammy-abraham,F,null,null,M. Kovačić,mateo-kovacic,M,68,null,false,regular,goal,5342
2,2,null,null,T. Pukki,teemu-pukki,F,null,null,E. Buendía,emiliano-buendia,M,30,null,true,regular,goal,5342
1,2,null,null,M. Mount,mason-mount,M,null,null,C. Pulišić,christian-pulisic,F,17,null,false,regular,goal,5342
1,1,,,T. Cantwell,todd-cantwell,M,null,null,T. Pukki,teemu-pukki,F,6,null,true,regular,goal,5342
0,1,null,null,T. Abraham,tammy-abraham,F,null,null,C. Azpilicueta,cesar-azpilicueta,D,3,null,false,regular,goal,5342
0,2,,,N. Redmond,nathan-redmond,M,null,null,S. Boufal,sofiane-boufal,M,90,1,false,regular,goal,5343
0,1,null,null,M. Djenepo,moussa-djenepo,M,null,null,D. Ings,danny-ings,F,55,null,false,regular,goal,5343
1,2,null,null,P. v. Aanholt,patrick-van-aanholt,D,null,null,null,null,null,90,3,false,regular,goal,5344
1,1,,,D. James,james-daniel,M,,,A. Martial,anthony-martial,F,89,null,true,regular,goal,5344
0,1,null,null,J. Ayew,jordan-ayew,F,null,null,J. Schlupp,jeffrey-schlupp,M,32,null,false,regular,goal,5344
1,2,,,H. Barnes,harvey-barnes,M,null,null,Ç. Söyüncü,caglar-soyuncu,D,70,null,false,regular,goal,5345
1,1,null,null,O. McBurnie,oliver-mcburnie,F,,,G. Baldock,george-baldock,M,62,null,true,regular,goal,5345
0,1,,,J. Vardy,jamie-vardy,F,null,null,J. Maddison,james-maddison,M,38,null,false,regular,goal,5345
1,3,null,null,S. Haller,sebastien-haller,F,null,null,null,null,null,73,null,false,regular,goal,5346
1,2,null,null,S. Haller,sebastien-haller,F,null,null,F. Anderson,felipe-anderson,M,64,null,false,regular,goal,5346
1,1,null,null,A. Gray,andre-gray,F,null,null,W. Hughes,will-hughes,M,17,null,true,regular,goal,5346
0,1,null,null,M. Noble,mark-noble,M,null,null,null,null,null,3,null,false,penalty,goal,5346
3,1,,,L. Torreira,lucas-torreira,M,null,null,null,null,null,85,null,false,regular,goal,5347
3,0,,,M. Salah,mohamed-salah,F,,,Fabinho,fabinho,M,58,null,true,regular,goal,5347
2,0,,,M. Salah,mohamed-salah,F,null,null,null,null,null,49,null,true,penalty,goal,5347
1,0,null,null,J. Matip,joel-matip,D,,,T. Alexander-Arnold,trent-alexander-arnold,D,41,null,true,regular,goal,5347
1,3,,,S. Agüero,sergio-aguero,F,,,D. Silva,david-silva,M,64,null,false,regular,goal,5348
1,2,,,H. Wilson,harry-wilson,M,null,null,null,null,null,45,3,true,regular,goal,5348
0,2,null,null,R. Sterling,raheem-sterling,F,,,D. Silva,david-silva,M,43,null,false,regular,goal,5348
0,1,,,S. Agüero,sergio-aguero,F,,,K. D. Bruyne,kevin-de-bruyne,M,15,null,false,regular,goal,5348
0,1,null,null,Joelinton,joelinton,F,null,null,C. Atsu,christian-atsu,M,27,null,false,regular,goal,5349
1,1,null,null,R. Jiménez,raul-jimenez,F,null,null,null,null,null,90,7,true,penalty,goal,5350
0,1,,,A. Barnes,ashley-barnes,F,,,D. McNeil,dwight-mcneil,M,13,null,false,regular,goal,5350
1,1,null,null,J. Vestergaard,jannik-vestergaard,D,null,null,K. Danso,danso-kevin,D,58,null,true,regular,goal,5351
0,1,,,D. James,james-daniel,M,,,S. McTominay,scott-mctominay,M,10,null,false,regular,goal,5351
2,2,null,null,K. Zouma,kurt-zouma,D,null,null,null,null,null,89,null,false,ownGoal,goal,5352
2,1,null,null,C. Robinson,callum-robinson,F,,,E. Stevens,enda-stevens,M,46,null,false,regular,goal,5352
2,0,null,null,T. Abraham,tammy-abraham,F,null,null,null,null,null,43,null,true,regular,goal,5352
1,0,null,null,T. Abraham,tammy-abraham,F,null,null,null,null,null,19,null,true,regular,goal,5352
1,0,null,null,J. Ayew,jordan-ayew,F,null,null,null,null,null,73,null,true,regular,goal,5353
3,1,,,J. Vardy,jamie-vardy,F,,,Y. Tielemans,youri-tielemans,M,73,null,true,regular,goal,5354
2,1,,,Y. Tielemans,youri-tielemans,M,,,J. Vardy,jamie-vardy,F,41,null,true,regular,goal,5354
1,1,null,null,C. Wilson,callum-wilson,F,null,null,R. Fraser,ryan-fraser,M,15,null,false,regular,goal,5354
1,0,,,J. Vardy,jamie-vardy,F,null,null,B. Chilwell,ben-chilwell,D,12,null,true,regular,goal,5354
4,0,,,B. Silva,bernardo-silva,M,,,S. Agüero,sergio-aguero,F,79,null,true,regular,goal,5355
3,0,,,S. Agüero,sergio-aguero,F,,,D. Silva,david-silva,M,55,null,true,regular,goal,5355
2,0,,,S. Agüero,sergio-aguero,F,,,K. D. Bruyne,kevin-de-bruyne,M,42,null,true,regular,goal,5355
1,0,,,K. D. Bruyne,kevin-de-bruyne,M,,,D. Silva,david-silva,M,2,null,true,regular,goal,5355
1,1,null,null,F. Schär,fabian-schar,D,null,null,I. Hayden,isaac-hayden,M,41,null,true,regular,goal,5356
0,1,null,null,W. Hughes,will-hughes,M,null,null,null,null,null,2,null,false,regular,goal,5356
2,0,null,null,A. Yarmolenko,andriy-yarmolenko,M,null,null,null,null,null,56,null,true,regular,goal,5357
1,0,null,null,S. Haller,sebastien-haller,F,null,null,A. Masuaku,arthur-masuaku,D,24,null,true,regular,goal,5357
0,3,null,null,R. Firmino,roberto-firmino,F,,,M. Salah,mohamed-salah,F,80,null,false,regular,goal,5358
0,2,null,null,S. Mané,sadio-mane,F,null,null,R. Firmino,roberto-firmino,F,37,null,false,regular,goal,5358
0,1,null,null,C. Wood,chris-wood,F,null,null,null,null,null,33,null,false,ownGoal,goal,5358
3,2,,,Richarlison,richarlison,F,null,null,L. Digne,lucas-digne,D,80,null,true,regular,goal,5359
2,2,null,null,R. Jiménez,raul-jimenez,F,null,null,W. Boly,willy-boly,D,75,null,false,regular,goal,5359
2,1,,,A. Iwobi,alex-iwobi,M,null,null,G. Sigurðsson,gylfi-sigurdsson,M,12,null,true,regular,goal,5359
1,1,,,R. Saiss,romain-saiss,D,null,null,null,null,null,9,null,false,regular,goal,5359
1,0,,,Richarlison,richarlison,F,,,M. Kean,moise-kean,F,5,null,true,regular,goal,5359
2,2,null,null,P. Aubameyang,pierre-emerick-aubameyang,F,null,null,M. Guendouzi,matteo-guendouzi,M,71,null,true,regular,goal,5360
1,2,,,A. Lacazette,alexandre-lacazette,F,null,null,N. Pépé,nicolas-pepe,F,45,1,true,regular,goal,5360
0,2,null,null,H. Kane,harry-kane,F,null,null,null,null,null,40,null,false,penalty,goal,5360
0,1,null,null,C. Eriksen,christian-eriksen,M,null,null,null,null,null,10,null,false,regular,goal,5360
3,1,,,M. Salah,mohamed-salah,F,null,null,R. Firmino,roberto-firmino,F,72,null,true,regular,goal,5361
2,1,null,null,S. Mané,sadio-mane,F,null,null,null,null,null,40,null,true,regular,goal,5361
1,1,null,null,S. Mané,sadio-mane,F,,,A. Robertson,andrew-robertson,D,28,null,true,regular,goal,5361
0,1,null,null,J. Willems,jetro-willems,D,null,null,C. Atsu,christian-atsu,M,7,null,false,regular,goal,5361
1,1,null,null,J. Hendrick,jeff-hendrick,M,,,M. Vydra,matej-vydra,F,90,1,false,regular,goal,5362
1,0,null,null,N. Maupay,neal-maupay,F,null,null,S. March,solly-march,M,51,null,true,regular,goal,5362
1,0,,,M. Rashford,marcus-rashford,M,null,null,null,null,null,8,null,true,penalty,goal,5363
0,1,null,null,M. Djenepo,moussa-djenepo,M,null,null,S. Boufal,sofiane-boufal,M,66,null,false,regular,goal,5364
4,0,null,null,É. Lamela,erik-lamela,M,null,null,H. Kane,harry-kane,F,42,null,true,regular,goal,5365
3,0,null,null,H. M. Son,heung-min-son,F,null,null,S. Aurier,serge-aurier,D,23,null,true,regular,goal,5365
2,0,null,null,P. v. Aanholt,patrick-van-aanholt,D,null,null,null,null,null,21,null,true,ownGoal,goal,5365
1,0,null,null,H. M. Son,heung-min-son,F,null,null,T. Alderweireld,toby-alderweireld,D,10,null,true,regular,goal,5365
2,5,null,null,M. Mount,mason-mount,M,null,null,M. Batshuayi,michy-batshuayi,F,90,6,false,regular,goal,5366
2,4,,,P. Cutrone,patrick-cutrone,F,null,null,null,null,null,85,null,true,regular,goal,5366
1,4,null,null,T. Abraham,tammy-abraham,F,null,null,null,null,null,69,null,true,ownGoal,goal,5366
0,4,null,null,T. Abraham,tammy-abraham,F,null,null,Jorginho,jorginho,M,55,null,false,regular,goal,5366
0,3,null,null,T. Abraham,tammy-abraham,F,null,null,M. Alonso,marcos-alonso,D,41,null,false,regular,goal,5366
0,2,null,null,T. Abraham,tammy-abraham,F,null,null,null,null,null,34,null,false,regular,goal,5366
0,1,null,null,F. Tomori,fikayo-tomori,D,null,null,null,null,null,31,null,false,regular,goal,5366
3,2,,,Rodri,rodri,M,null,null,Gabriel,gabriel-jesus,F,88,null,false,regular,goal,5367
3,1,null,null,T. Pukki,teemu-pukki,F,null,null,E. Buendía,emiliano-buendia,M,50,null,true,regular,goal,5367
