League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
Premier League ,10/11 ,1 ,Tottenham ,Manchester City ,0 ,0 ,(no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Aston Villa ,West Ham United ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Blackburn Rovers ,Everton ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Blackpool ,Wigan Athletic ,null ,null , the game is cancaled 3  with id 1379596 at round 1
Premier League ,10/11 ,1 ,Bolton Wanderers ,Fulham ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Sunderland ,Birmingham City ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Wigan Athletic ,Blackpool ,0 ,4 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Wolverhampton ,Stoke City ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Chelsea ,West Bromwich Albion ,6 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Liverpool ,Arsenal ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,10/11 ,1 ,Manchester United ,Newcastle United ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Arsenal ,Blackpool ,6 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Birmingham City ,Blackburn Rovers ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Everton ,Wolverhampton ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Stoke City ,Tottenham ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,West Bromwich Albion ,Sunderland ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,West Ham United ,Bolton Wanderers ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Wigan Athletic ,Chelsea ,0 ,6 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Newcastle United ,Aston Villa ,6 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Fulham ,Manchester United ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,10/11 ,2 ,Manchester City ,Liverpool ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,3 ,Blackburn Rovers ,Arsenal ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,10/11 ,3 ,Blackpool ,Fulham ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,10/11 ,3 ,Chelsea ,Stoke City ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,10/11 ,3 ,Tottenham ,Wigan Athletic ,0 ,1 , (no statistics in this season)  here must be value
