League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
Premier League ,13/14 ,1 ,Liverpool ,Stoke City ,1 ,0 ,(no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Arsenal ,Aston Villa ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Norwich City ,Everton ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Sunderland ,Fulham ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,West Bromwich Albion ,Southampton ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,West Ham United ,Cardiff City ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Swansea City ,Manchester United ,1 ,4 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Crystal Palace ,Tottenham ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Chelsea ,Hull City ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,1 ,Manchester City ,Newcastle United ,4 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Fulham ,Arsenal ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Everton ,West Bromwich Albion ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Hull City ,Norwich City ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Newcastle United ,West Ham United ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Southampton ,Sunderland ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Stoke City ,Crystal Palace ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Aston Villa ,Liverpool ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Cardiff City ,Manchester City ,3 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Tottenham ,Swansea City ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,2 ,Manchester United ,Chelsea ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Chelsea ,Aston Villa ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Manchester City ,Hull City ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Cardiff City ,Everton ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Chelsea ,Aston Villa ,null ,null , the game is cancaled 3  with id 3964835 at round 3
Premier League ,13/14 ,3 ,Newcastle United ,Fulham ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Norwich City ,Southampton ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,West Ham United ,Stoke City ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Crystal Palace ,Sunderland ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Liverpool ,Manchester United ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,West Bromwich Albion ,Swansea City ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,3 ,Arsenal ,Tottenham ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Manchester United ,Crystal Palace ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Aston Villa ,Newcastle United ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Fulham ,West Bromwich Albion ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Hull City ,Cardiff City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Stoke City ,Manchester City ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Sunderland ,Arsenal ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Tottenham ,Norwich City ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Everton ,Chelsea ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Southampton ,West Ham United ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,4 ,Swansea City ,Liverpool ,2 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Norwich City ,Aston Villa ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Liverpool ,Southampton ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Newcastle United ,Hull City ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,West Bromwich Albion ,Sunderland ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,West Ham United ,Everton ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Chelsea ,Fulham ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Arsenal ,Stoke City ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Crystal Palace ,Swansea City ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Cardiff City ,Tottenham ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,5 ,Manchester City ,Manchester United ,4 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Tottenham ,Chelsea ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Aston Villa ,Manchester City ,3 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Fulham ,Cardiff City ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Hull City ,West Ham United ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Manchester United ,West Bromwich Albion ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Southampton ,Crystal Palace ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Swansea City ,Arsenal ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Stoke City ,Norwich City ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,13/14 ,6 ,Sunderland ,Liverpool ,1 ,3 , (no statistics in this season)  here must be value
