afc-bournemouth vs fulham-fc : Premier League ,2018/2019 ,35. Round ,20/04/2019 ,15:00 ,AFC Bournemouth ,Fulham FC ,0:1(0:0) ,Premier League ,2018/2019 ,10. Round ,27/10/2018 ,15:00 ,Fulham FC ,AFC Bournemouth ,0:3(0:1) ,
afc-bournemouth vs huddersfield-town : Championship ,2020/2021 ,18. Round ,12/12/2020 ,15:00 ,AFC Bournemouth ,Huddersfield Town ,5:0(3:0) ,Premier League ,2018/2019 ,30. Round ,09/03/2019 ,15:00 ,Huddersfield Town ,AFC Bournemouth ,0:2(0:1) ,Premier League ,2018/2019 ,15. Round ,04/12/2018 ,19:45 ,AFC Bournemouth ,Huddersfield Town ,2:1(2:1) ,
there is no head to head between afc-bournemouth and leeds-united
afc-bournemouth vs leicester-city : Premier League ,2019/2020 ,35. Round ,12/07/2020 ,19:00 ,AFC Bournemouth ,Leicester City ,4:1(0:1) ,Premier League ,2019/2020 ,4. Round ,31/08/2019 ,15:00 ,Leicester City ,AFC Bournemouth ,3:1(2:1) ,Premier League ,2018/2019 ,32. Round ,30/03/2019 ,15:00 ,Leicester City ,AFC Bournemouth ,2:0(1:0) ,Premier League ,2018/2019 ,5. Round ,15/09/2018 ,15:00 ,AFC Bournemouth ,Leicester City ,4:2(3:0) ,
afc-bournemouth vs liverpool-fc : Premier League ,2019/2020 ,29. Round ,07/03/2020 ,12:30 ,Liverpool FC ,AFC Bournemouth ,2:1(2:1) ,Premier League ,2019/2020 ,16. Round ,07/12/2019 ,15:00 ,AFC Bournemouth ,Liverpool FC ,0:3(0:2) ,Premier League ,2018/2019 ,26. Round ,09/02/2019 ,15:00 ,Liverpool FC ,AFC Bournemouth ,3:0(2:0) ,Premier League ,2018/2019 ,16. Round ,08/12/2018 ,12:30 ,AFC Bournemouth ,Liverpool FC ,0:4(0:1) ,
afc-bournemouth vs manchester-city : League Cup ,2020/2021 ,3. Round ,24/09/2020 ,19:45 ,Manchester City ,AFC Bournemouth ,2:1(1:1) ,Premier League ,2019/2020 ,36. Round ,15/07/2020 ,18:00 ,Manchester City ,AFC Bournemouth ,2:1(2:0) ,Premier League ,2019/2020 ,3. Round ,25/08/2019 ,14:00 ,AFC Bournemouth ,Manchester City ,1:3(1:2) ,Premier League ,2018/2019 ,29. Round ,02/03/2019 ,15:00 ,AFC Bournemouth ,Manchester City ,0:1(0:0) ,Premier League ,2018/2019 ,14. Round ,01/12/2018 ,15:00 ,Manchester City ,AFC Bournemouth ,3:1(1:1) ,
afc-bournemouth vs manchester-united : Premier League ,2019/2020 ,33. Round ,04/07/2020 ,15:00 ,Manchester United ,AFC Bournemouth ,5:2(3:1) ,Premier League ,2019/2020 ,11. Round ,02/11/2019 ,12:30 ,AFC Bournemouth ,Manchester United ,1:0(1:0) ,Premier League ,2018/2019 ,20. Round ,30/12/2018 ,16:30 ,Manchester United ,AFC Bournemouth ,4:1(3:1) ,Premier League ,2018/2019 ,11. Round ,03/11/2018 ,12:30 ,AFC Bournemouth ,Manchester United ,1:2(1:1) ,
afc-bournemouth vs newcastle-united : Premier League ,2019/2020 ,32. Round ,01/07/2020 ,18:00 ,AFC Bournemouth ,Newcastle United ,1:4(0:2) ,Premier League ,2019/2020 ,12. Round ,09/11/2019 ,15:00 ,Newcastle United ,AFC Bournemouth ,2:1(1:1) ,Premier League ,2018/2019 ,31. Round ,16/03/2019 ,15:00 ,AFC Bournemouth ,Newcastle United ,2:2(0:1) ,Premier League ,2018/2019 ,12. Round ,10/11/2018 ,15:00 ,Newcastle United ,AFC Bournemouth ,2:1(2:1) ,
afc-bournemouth vs norwich-city : Championship ,2020/2021 ,3. Round ,27/09/2020 ,16:00 ,AFC Bournemouth ,Norwich City ,1:0(1:0) ,Premier League ,2019/2020 ,23. Round ,18/01/2020 ,15:00 ,Norwich City ,AFC Bournemouth ,1:0(1:0) ,Premier League ,2019/2020 ,9. Round ,19/10/2019 ,15:00 ,AFC Bournemouth ,Norwich City ,0:0(0:0) ,League Cup ,2018/2019 ,Round of 16 ,30/10/2018 ,19:45 ,AFC Bournemouth ,Norwich City ,2:1(1:0) ,
afc-bournemouth vs sheffield-united : Premier League ,2019/2020 ,26. Round ,09/02/2020 ,14:00 ,Sheffield United ,AFC Bournemouth ,2:1(1:1) ,Premier League ,2019/2020 ,1. Round ,10/08/2019 ,15:00 ,AFC Bournemouth ,Sheffield United ,1:1(0:0) ,
afc-bournemouth vs southampton-fc : Premier League ,2019/2020 ,37. Round ,19/07/2020 ,14:00 ,AFC Bournemouth ,Southampton FC ,0:2(0:1) ,Premier League ,2019/2020 ,6. Round ,20/09/2019 ,20:00 ,Southampton FC ,AFC Bournemouth ,1:3(0:2) ,Premier League ,2018/2019 ,36. Round ,27/04/2019 ,15:00 ,Southampton FC ,AFC Bournemouth ,3:3(1:2) ,Premier League ,2018/2019 ,9. Round ,20/10/2018 ,15:00 ,AFC Bournemouth ,Southampton FC ,0:0(0:0) ,
afc-bournemouth vs tottenham-hotspur : Premier League ,2019/2020 ,34. Round ,09/07/2020 ,18:00 ,AFC Bournemouth ,Tottenham Hotspur ,0:0(0:0) ,Premier League ,2019/2020 ,14. Round ,30/11/2019 ,15:00 ,Tottenham Hotspur ,AFC Bournemouth ,3:2(1:0) ,Premier League ,2018/2019 ,37. Round ,04/05/2019 ,12:30 ,AFC Bournemouth ,Tottenham Hotspur ,1:0(0:0) ,Premier League ,2018/2019 ,19. Round ,26/12/2018 ,15:00 ,Tottenham Hotspur ,AFC Bournemouth ,5:0(3:0) ,
afc-bournemouth vs watford-fc : Championship ,2020/2021 ,7. Round ,24/10/2020 ,12:30 ,Watford FC ,AFC Bournemouth ,1:1(1:0) ,Premier League ,2019/2020 ,22. Round ,12/01/2020 ,14:00 ,AFC Bournemouth ,Watford FC ,0:3(0:1) ,Premier League ,2019/2020 ,10. Round ,26/10/2019 ,15:00 ,Watford FC ,AFC Bournemouth ,0:0(0:0) ,Premier League ,2018/2019 ,21. Round ,02/01/2019 ,19:45 ,AFC Bournemouth ,Watford FC ,3:3(3:3) ,Premier League ,2018/2019 ,8. Round ,06/10/2018 ,15:00 ,Watford FC ,AFC Bournemouth ,0:4(0:3) ,
afc-bournemouth vs west-bromwich-albion : Friendlies Clubs ,2019 ,Week ,26/07/2019 ,20:00 ,West Bromwich Albion ,AFC Bournemouth ,0:0(0:0) ,
afc-bournemouth vs west-ham-united : Friendlies Clubs ,2020 ,Week ,05/09/2020 ,15:00 ,West Ham United ,AFC Bournemouth ,3:5(2:2) ,Premier League ,2019/2020 ,21. Round ,01/01/2020 ,17:30 ,West Ham United ,AFC Bournemouth ,4:0(3:0) ,Premier League ,2019/2020 ,7. Round ,28/09/2019 ,15:00 ,AFC Bournemouth ,West Ham United ,2:2(1:1) ,Premier League ,2018/2019 ,23. Round ,19/01/2019 ,15:00 ,AFC Bournemouth ,West Ham United ,2:0(0:0) ,Premier League ,2018/2019 ,2. Round ,18/08/2018 ,15:00 ,West Ham United ,AFC Bournemouth ,1:2(1:0) ,
afc-bournemouth vs wolverhampton-wanderers : Premier League ,2019/2020 ,31. Round ,24/06/2020 ,18:00 ,Wolverhampton Wanderers ,AFC Bournemouth ,1:0(0:0) ,Premier League ,2019/2020 ,13. Round ,23/11/2019 ,15:00 ,AFC Bournemouth ,Wolverhampton Wanderers ,1:2(0:2) ,Premier League ,2018/2019 ,27. Round ,23/02/2019 ,15:00 ,AFC Bournemouth ,Wolverhampton Wanderers ,1:1(1:0) ,Premier League ,2018/2019 ,17. Round ,15/12/2018 ,15:00 ,Wolverhampton Wanderers ,AFC Bournemouth ,2:0(1:0) ,
arsenal-fc vs aston-villa : Premier League ,2020/2021 ,8. Round ,08/11/2020 ,19:15 ,Arsenal FC ,Aston Villa ,0:3(0:1) ,Premier League ,2019/2020 ,37. Round ,21/07/2020 ,20:15 ,Aston Villa ,Arsenal FC ,1:0(1:0) ,Premier League ,2019/2020 ,6. Round ,22/09/2019 ,16:30 ,Arsenal FC ,Aston Villa ,3:2(0:1) ,
arsenal-fc vs brighton-hove-albion : Premier League ,2020/2021 ,16. Round ,29/12/2020 ,18:00 ,Brighton & Hove Albion ,Arsenal FC ,0:1(0:0) ,Premier League ,2019/2020 ,30. Round ,20/06/2020 ,15:00 ,Brighton & Hove Albion ,Arsenal FC ,2:1(0:0) ,Premier League ,2019/2020 ,15. Round ,05/12/2019 ,20:15 ,Arsenal FC ,Brighton & Hove Albion ,1:2(0:1) ,Premier League ,2018/2019 ,37. Round ,05/05/2019 ,16:30 ,Arsenal FC ,Brighton & Hove Albion ,1:1(1:0) ,Premier League ,2018/2019 ,19. Round ,26/12/2018 ,17:15 ,Brighton & Hove Albion ,Arsenal FC ,1:1(1:1) ,
arsenal-fc vs burnley-fc : Premier League ,2020/2021 ,12. Round ,13/12/2020 ,19:15 ,Arsenal FC ,Burnley FC ,0:1(0:0) ,Premier League ,2019/2020 ,25. Round ,02/02/2020 ,14:00 ,Burnley FC ,Arsenal FC ,0:0(0:0) ,Premier League ,2019/2020 ,2. Round ,17/08/2019 ,12:30 ,Arsenal FC ,Burnley FC ,2:1(1:1) ,Premier League ,2018/2019 ,38. Round ,12/05/2019 ,15:00 ,Burnley FC ,Arsenal FC ,1:3(0:0) ,Premier League ,2018/2019 ,18. Round ,22/12/2018 ,12:30 ,Arsenal FC ,Burnley FC ,3:1(1:0) ,
arsenal-fc vs cardiff-city : Premier League ,2018/2019 ,24. Round ,29/01/2019 ,19:45 ,Arsenal FC ,Cardiff City ,2:1(0:0) ,Premier League ,2018/2019 ,4. Round ,02/09/2018 ,13:30 ,Cardiff City ,Arsenal FC ,2:3(1:1) ,
arsenal-fc vs chelsea-fc : Premier League ,2020/2021 ,15. Round ,26/12/2020 ,17:30 ,Arsenal FC ,Chelsea FC ,3:1(2:0) ,FA Cup ,2019/2020 ,Final ,01/08/2020 ,17:30 ,Arsenal FC ,Chelsea FC ,2:1(1:1) ,Premier League ,2019/2020 ,24. Round ,21/01/2020 ,20:15 ,Chelsea FC ,Arsenal FC ,2:2(1:0) ,Premier League ,2019/2020 ,20. Round ,29/12/2019 ,14:00 ,Arsenal FC ,Chelsea FC ,1:2(1:0) ,Europa League ,2018/2019 ,Final ,29/05/2019 ,20:00 ,Chelsea FC ,Arsenal FC ,4:1(0:0) ,Premier League ,2018/2019 ,23. Round ,19/01/2019 ,17:30 ,Arsenal FC ,Chelsea FC ,2:0(2:0) ,Premier League ,2018/2019 ,2. Round ,18/08/2018 ,17:30 ,Chelsea FC ,Arsenal FC ,3:2(2:2) ,Friendlies Clubs ,2018 ,Week ,01/08/2018 ,20:00 ,Arsenal FC ,Chelsea FC ,6:5(0:1, 1:1) ,
arsenal-fc vs crystal-palace : Premier League ,2020/2021 ,18. Round ,14/01/2021 ,20:00 ,Arsenal FC ,Crystal Palace ,0:0(0:0) ,Premier League ,2019/2020 ,22. Round ,11/01/2020 ,12:30 ,Crystal Palace ,Arsenal FC ,1:1(0:1) ,Premier League ,2019/2020 ,10. Round ,27/10/2019 ,16:30 ,Arsenal FC ,Crystal Palace ,2:2(2:1) ,Premier League ,2018/2019 ,35. Round ,21/04/2019 ,16:00 ,Arsenal FC ,Crystal Palace ,2:3(0:1) ,Premier League ,2018/2019 ,10. Round ,28/10/2018 ,13:30 ,Crystal Palace ,Arsenal FC ,2:2(1:0) ,
arsenal-fc vs everton-fc : Premier League ,2020/2021 ,14. Round ,19/12/2020 ,17:30 ,Everton FC ,Arsenal FC ,2:1(2:1) ,Premier League ,2019/2020 ,27. Round ,23/02/2020 ,16:30 ,Arsenal FC ,Everton FC ,3:2(2:2) ,Premier League ,2019/2020 ,18. Round ,21/12/2019 ,12:30 ,Everton FC ,Arsenal FC ,0:0(0:0) ,Premier League ,2018/2019 ,33. Round ,07/04/2019 ,14:05 ,Everton FC ,Arsenal FC ,1:0(1:0) ,Premier League ,2018/2019 ,6. Round ,23/09/2018 ,16:00 ,Arsenal FC ,Everton FC ,2:0(0:0) ,
arsenal-fc vs fulham-fc : Premier League ,2020/2021 ,1. Round ,12/09/2020 ,12:30 ,Fulham FC ,Arsenal FC ,0:3(0:1) ,Premier League ,2018/2019 ,21. Round ,01/01/2019 ,15:00 ,Arsenal FC ,Fulham FC ,4:1(1:0) ,Premier League ,2018/2019 ,8. Round ,07/10/2018 ,12:00 ,Fulham FC ,Arsenal FC ,1:5(1:1) ,
arsenal-fc vs huddersfield-town : Premier League ,2018/2019 ,26. Round ,09/02/2019 ,15:00 ,Huddersfield Town ,Arsenal FC ,1:2(0:2) ,Premier League ,2018/2019 ,16. Round ,08/12/2018 ,15:00 ,Arsenal FC ,Huddersfield Town ,1:0(0:0) ,
arsenal-fc vs leeds-united : Premier League ,2020/2021 ,9. Round ,22/11/2020 ,16:30 ,Leeds United ,Arsenal FC ,0:0(0:0) ,FA Cup ,2019/2020 ,3. Round ,06/01/2020 ,19:56 ,Arsenal FC ,Leeds United ,1:0(0:0) ,
arsenal-fc vs leicester-city : Premier League ,2020/2021 ,6. Round ,25/10/2020 ,19:15 ,Arsenal FC ,Leicester City ,0:1(0:0) ,League Cup ,2020/2021 ,3. Round ,23/09/2020 ,19:45 ,Leicester City ,Arsenal FC ,0:2(0:0) ,Premier League ,2019/2020 ,34. Round ,07/07/2020 ,20:15 ,Arsenal FC ,Leicester City ,1:1(1:0) ,Premier League ,2019/2020 ,12. Round ,09/11/2019 ,17:30 ,Leicester City ,Arsenal FC ,2:0(0:0) ,Premier League ,2018/2019 ,36. Round ,28/04/2019 ,12:00 ,Leicester City ,Arsenal FC ,3:0(0:0) ,Premier League ,2018/2019 ,9. Round ,22/10/2018 ,20:00 ,Arsenal FC ,Leicester City ,3:1(1:1) ,
arsenal-fc vs liverpool-fc : League Cup ,2020/2021 ,Round of 16 ,01/10/2020 ,19:45 ,Liverpool FC ,Arsenal FC ,4:5(0:0, 0:0) ,Premier League ,2020/2021 ,3. Round ,28/09/2020 ,20:00 ,Liverpool FC ,Arsenal FC ,3:1(2:1) ,FA Community Shield ,2020 ,Final ,29/08/2020 ,16:30 ,Arsenal FC ,Liverpool FC ,5:4(1:0, 1:1) ,Premier League ,2019/2020 ,36. Round ,15/07/2020 ,20:15 ,Arsenal FC ,Liverpool FC ,2:1(2:1) ,League Cup ,2019/2020 ,Round of 16 ,30/10/2019 ,19:30 ,Liverpool FC ,Arsenal FC ,5:4(2:3, 5:5) ,Premier League ,2019/2020 ,3. Round ,24/08/2019 ,17:30 ,Liverpool FC ,Arsenal FC ,3:1(1:0) ,Premier League ,2018/2019 ,20. Round ,29/12/2018 ,17:30 ,Liverpool FC ,Arsenal FC ,5:1(4:1) ,Premier League ,2018/2019 ,11. Round ,03/11/2018 ,17:30 ,Arsenal FC ,Liverpool FC ,1:1(0:0) ,
arsenal-fc vs manchester-city : League Cup ,2020/2021 ,Quarter-finals ,22/12/2020 ,20:00 ,Arsenal FC ,Manchester City ,1:4(1:1) ,Premier League ,2020/2021 ,5. Round ,17/10/2020 ,17:30 ,Manchester City ,Arsenal FC ,1:0(1:0) ,FA Cup ,2019/2020 ,Semi-finals ,18/07/2020 ,19:45 ,Arsenal FC ,Manchester City ,2:0(1:0) ,Premier League ,2019/2020 ,28. Round ,17/06/2020 ,20:15 ,Manchester City ,Arsenal FC ,3:0(1:0) ,Premier League ,2019/2020 ,17. Round ,15/12/2019 ,16:30 ,Arsenal FC ,Manchester City ,0:3(0:3) ,Premier League ,2018/2019 ,25. Round ,03/02/2019 ,16:30 ,Manchester City ,Arsenal FC ,3:1(2:1) ,Premier League ,2018/2019 ,1. Round ,12/08/2018 ,16:00 ,Arsenal FC ,Manchester City ,0:2(0:1) ,
arsenal-fc vs manchester-united : Premier League ,2020/2021 ,21. Round ,30/01/2021 ,17:30 ,Arsenal FC ,Manchester United ,0:0(0:0) ,Premier League ,2020/2021 ,7. Round ,01/11/2020 ,16:30 ,Manchester United ,Arsenal FC ,0:1(0:0) ,Premier League ,2019/2020 ,21. Round ,01/01/2020 ,20:00 ,Arsenal FC ,Manchester United ,2:0(2:0) ,Premier League ,2019/2020 ,7. Round ,30/09/2019 ,20:00 ,Manchester United ,Arsenal FC ,1:1(1:0) ,Premier League ,2018/2019 ,30. Round ,10/03/2019 ,16:30 ,Arsenal FC ,Manchester United ,2:0(1:0) ,FA Cup ,2018/2019 ,4. Round ,25/01/2019 ,19:55 ,Arsenal FC ,Manchester United ,1:3(1:2) ,Premier League ,2018/2019 ,15. Round ,05/12/2018 ,20:00 ,Manchester United ,Arsenal FC ,2:2(1:1) ,
arsenal-fc vs newcastle-united : Premier League ,2020/2021 ,19. Round ,18/01/2021 ,20:00 ,Arsenal FC ,Newcastle United ,3:0(0:0) ,FA Cup ,2020/2021 ,3. Round ,09/01/2021 ,17:30 ,Arsenal FC ,Newcastle United ,2:0(0:0, 0:0) ,Premier League ,2019/2020 ,26. Round ,16/02/2020 ,16:30 ,Arsenal FC ,Newcastle United ,4:0(0:0) ,Premier League ,2019/2020 ,1. Round ,11/08/2019 ,14:00 ,Newcastle United ,Arsenal FC ,0:1(0:0) ,Premier League ,2018/2019 ,32. Round ,01/04/2019 ,20:00 ,Arsenal FC ,Newcastle United ,2:0(1:0) ,Premier League ,2018/2019 ,5. Round ,15/09/2018 ,15:00 ,Newcastle United ,Arsenal FC ,1:2(0:0) ,
arsenal-fc vs norwich-city : Premier League ,2019/2020 ,32. Round ,01/07/2020 ,18:00 ,Arsenal FC ,Norwich City ,4:0(2:0) ,Premier League ,2019/2020 ,14. Round ,01/12/2019 ,14:00 ,Norwich City ,Arsenal FC ,2:2(2:1) ,
arsenal-fc vs sheffield-united : Premier League ,2020/2021 ,4. Round ,04/10/2020 ,14:00 ,Arsenal FC ,Sheffield United ,2:1(0:0) ,FA Cup ,2019/2020 ,Quarter-finals ,28/06/2020 ,13:00 ,Sheffield United ,Arsenal FC ,1:2(0:1) ,Premier League ,2019/2020 ,23. Round ,18/01/2020 ,15:00 ,Arsenal FC ,Sheffield United ,1:1(1:0) ,Premier League ,2019/2020 ,9. Round ,21/10/2019 ,20:00 ,Sheffield United ,Arsenal FC ,1:0(1:0) ,
arsenal-fc vs southampton-fc : Premier League ,2020/2021 ,20. Round ,26/01/2021 ,20:15 ,Southampton FC ,Arsenal FC ,1:3(1:2) ,FA Cup ,2020/2021 ,4. Round ,23/01/2021 ,12:15 ,Southampton FC ,Arsenal FC ,1:0(1:0) ,Premier League ,2020/2021 ,13. Round ,16/12/2020 ,18:00 ,Arsenal FC ,Southampton FC ,1:1(0:1) ,Premier League ,2019/2020 ,31. Round ,25/06/2020 ,18:00 ,Southampton FC ,Arsenal FC ,0:2(0:1) ,Premier League ,2019/2020 ,13. Round ,23/11/2019 ,15:00 ,Arsenal FC ,Southampton FC ,2:2(1:1) ,Premier League ,2018/2019 ,27. Round ,24/02/2019 ,14:05 ,Arsenal FC ,Southampton FC ,2:0(2:0) ,Premier League ,2018/2019 ,17. Round ,16/12/2018 ,13:30 ,Southampton FC ,Arsenal FC ,3:2(2:1) ,
arsenal-fc vs tottenham-hotspur : Premier League ,2020/2021 ,11. Round ,06/12/2020 ,16:30 ,Tottenham Hotspur ,Arsenal FC ,2:0(2:0) ,Premier League ,2019/2020 ,35. Round ,12/07/2020 ,16:30 ,Tottenham Hotspur ,Arsenal FC ,2:1(1:1) ,Premier League ,2019/2020 ,4. Round ,01/09/2019 ,16:30 ,Arsenal FC ,Tottenham Hotspur ,2:2(1:2) ,Premier League ,2018/2019 ,29. Round ,02/03/2019 ,12:30 ,Tottenham Hotspur ,Arsenal FC ,1:1(0:1) ,League Cup ,2018/2019 ,Quarter-finals ,19/12/2018 ,19:45 ,Arsenal FC ,Tottenham Hotspur ,0:2(0:1) ,Premier League ,2018/2019 ,14. Round ,02/12/2018 ,14:05 ,Arsenal FC ,Tottenham Hotspur ,4:2(1:2) ,
arsenal-fc vs watford-fc : Premier League ,2019/2020 ,38. Round ,26/07/2020 ,16:00 ,Arsenal FC ,Watford FC ,3:2(3:1) ,Premier League ,2019/2020 ,5. Round ,15/09/2019 ,16:30 ,Watford FC ,Arsenal FC ,2:2(0:2) ,Premier League ,2018/2019 ,34. Round ,15/04/2019 ,20:00 ,Watford FC ,Arsenal FC ,0:1(0:1) ,Premier League ,2018/2019 ,7. Round ,29/09/2018 ,15:00 ,Arsenal FC ,Watford FC ,2:0(0:0) ,
arsenal-fc vs west-bromwich-albion : Premier League ,2020/2021 ,17. Round ,02/01/2021 ,20:00 ,West Bromwich Albion ,Arsenal FC ,0:4(0:2) ,
arsenal-fc vs west-ham-united : Premier League ,2020/2021 ,2. Round ,19/09/2020 ,20:00 ,Arsenal FC ,West Ham United ,2:1(1:1) ,Premier League ,2019/2020 ,29. Round ,07/03/2020 ,15:00 ,Arsenal FC ,West Ham United ,1:0(0:0) ,Premier League ,2019/2020 ,16. Round ,09/12/2019 ,20:00 ,West Ham United ,Arsenal FC ,1:3(1:0) ,Premier League ,2018/2019 ,22. Round ,12/01/2019 ,12:30 ,West Ham United ,Arsenal FC ,1:0(0:0) ,Premier League ,2018/2019 ,3. Round ,25/08/2018 ,15:00 ,Arsenal FC ,West Ham United ,3:1(1:1) ,
arsenal-fc vs wolverhampton-wanderers : Premier League ,2020/2021 ,22. Round ,02/02/2021 ,18:00 ,Wolverhampton Wanderers ,Arsenal FC ,2:1(1:1) ,Premier League ,2020/2021 ,10. Round ,29/11/2020 ,19:15 ,Arsenal FC ,Wolverhampton Wanderers ,1:2(1:2) ,Premier League ,2019/2020 ,33. Round ,04/07/2020 ,17:30 ,Wolverhampton Wanderers ,Arsenal FC ,0:2(0:1) ,Premier League ,2019/2020 ,11. Round ,02/11/2019 ,15:00 ,Arsenal FC ,Wolverhampton Wanderers ,1:1(1:0) ,Premier League ,2018/2019 ,31. Round ,24/04/2019 ,19:45 ,Wolverhampton Wanderers ,Arsenal FC ,3:1(3:0) ,Premier League ,2018/2019 ,12. Round ,11/11/2018 ,16:30 ,Arsenal FC ,Wolverhampton Wanderers ,1:1(0:1) ,
aston-villa vs brighton-hove-albion : Premier League ,2020/2021 ,9. Round ,21/11/2020 ,15:00 ,Aston Villa ,Brighton & Hove Albion ,1:2(0:1) ,Premier League ,2019/2020 ,23. Round ,18/01/2020 ,15:00 ,Brighton & Hove Albion ,Aston Villa ,1:1(1:0) ,Premier League ,2019/2020 ,9. Round ,19/10/2019 ,15:00 ,Aston Villa ,Brighton & Hove Albion ,2:1(1:1) ,League Cup ,2019/2020 ,3. Round ,25/09/2019 ,19:45 ,Brighton & Hove Albion ,Aston Villa ,1:3(0:2) ,
aston-villa vs burnley-fc : Premier League ,2020/2021 ,20. Round ,27/01/2021 ,18:00 ,Burnley FC ,Aston Villa ,3:2(0:1) ,Premier League ,2020/2021 ,13. Round ,17/12/2020 ,18:00 ,Aston Villa ,Burnley FC ,0:0(0:0) ,Premier League ,2019/2020 ,21. Round ,01/01/2020 ,12:30 ,Burnley FC ,Aston Villa ,1:2(0:2) ,Premier League ,2019/2020 ,7. Round ,28/09/2019 ,15:00 ,Aston Villa ,Burnley FC ,2:2(1:0) ,
there is no head to head between aston-villa and cardiff-city
aston-villa vs chelsea-fc : Premier League ,2020/2021 ,16. Round ,28/12/2020 ,17:30 ,Chelsea FC ,Aston Villa ,1:1(1:0) ,Premier League ,2019/2020 ,30. Round ,21/06/2020 ,16:15 ,Aston Villa ,Chelsea FC ,1:2(1:0) ,Premier League ,2019/2020 ,15. Round ,04/12/2019 ,19:30 ,Chelsea FC ,Aston Villa ,2:1(1:1) ,
aston-villa vs crystal-palace : Premier League ,2020/2021 ,15. Round ,26/12/2020 ,15:00 ,Aston Villa ,Crystal Palace ,3:0(1:0) ,Premier League ,2019/2020 ,35. Round ,12/07/2020 ,14:15 ,Aston Villa ,Crystal Palace ,2:0(1:0) ,Premier League ,2019/2020 ,4. Round ,31/08/2019 ,15:00 ,Crystal Palace ,Aston Villa ,1:0(0:0) ,
aston-villa vs everton-fc : Premier League ,2019/2020 ,36. Round ,16/07/2020 ,18:00 ,Everton FC ,Aston Villa ,1:1(0:0) ,Premier League ,2019/2020 ,3. Round ,23/08/2019 ,20:00 ,Aston Villa ,Everton FC ,2:0(1:0) ,
aston-villa vs fulham-fc : Premier League ,2020/2021 ,3. Round ,28/09/2020 ,17:45 ,Fulham FC ,Aston Villa ,0:3(0:2) ,FA Cup ,2019/2020 ,3. Round ,04/01/2020 ,15:01 ,Fulham FC ,Aston Villa ,2:1(0:0) ,
there is no head to head between aston-villa and huddersfield-town
aston-villa vs leeds-united : Premier League ,2020/2021 ,6. Round ,23/10/2020 ,20:00 ,Aston Villa ,Leeds United ,0:3(0:0) ,Championship ,2018/2019 ,45. Round ,28/04/2019 ,12:00 ,Leeds United ,Aston Villa ,1:1(0:0) ,Championship ,2018/2019 ,23. Round ,23/12/2018 ,13:30 ,Aston Villa ,Leeds United ,2:3(2:0) ,
aston-villa vs leicester-city : Premier League ,2020/2021 ,5. Round ,18/10/2020 ,19:15 ,Leicester City ,Aston Villa ,0:1(0:0) ,Premier League ,2019/2020 ,29. Round ,09/03/2020 ,20:00 ,Leicester City ,Aston Villa ,4:0(1:0) ,League Cup ,2019/2020 ,Semi-finals ,28/01/2020 ,19:45 ,Aston Villa ,Leicester City ,2:1(1:0) ,League Cup ,2019/2020 ,Semi-finals ,08/01/2020 ,20:00 ,Leicester City ,Aston Villa ,1:1(0:1) ,Premier League ,2019/2020 ,16. Round ,08/12/2019 ,14:00 ,Aston Villa ,Leicester City ,1:4(1:2) ,
